strategy_name,occurrence,occ_profit,occ_loss,return_geo,period,ground,sky,stop_gain,stop_loss,rebound_channel,simulation_timestamp
CCI_bear_strategy,237,110,127,0.14827366197657765,20,-195,200,,300,"(0.2, 0.5)",2020-12-21 01:32:03
CCI_bear_strategy,688,235,453,0.11133614844500506,20,-190,50,,300,"(0.2, 0.5)",2020-12-21 01:32:28
CCI_bear_strategy,237,107,130,0.10714656378988963,20,-200,200,,300,"(0.2, 0.5)",2020-12-21 01:19:33
CCI_bear_strategy,250,116,134,0.1055989559435917,20,-195,195,,300,"(0.2, 0.5)",2020-12-21 01:31:48
CCI_bear_strategy,705,221,484,0.10500517456076786,20,-200,75,,300,"(0.2, 0.5)",2020-12-21 01:09:28
CCI_bear_strategy,708,225,483,0.10323639159082587,20,-200,80,,300,"(0.2, 0.5)",2020-12-21 01:09:57
CCI_bear_strategy,705,228,477,0.10282390744548953,20,-190,75,,300,"(0.2, 0.5)",2020-12-21 01:34:36
CCI_bear_strategy,705,223,482,0.09337129723984527,20,-195,75,,300,"(0.2, 0.5)",2020-12-21 01:22:07
CCI_bear_strategy,708,229,479,0.084876870392941,20,-190,80,,300,"(0.2, 0.5)",2020-12-21 01:35:03
CCI_bear_strategy,698,231,467,0.07350456159382524,20,-190,55,,300,"(0.2, 0.5)",2020-12-21 01:32:53
CCI_bear_strategy,250,113,137,0.07230646931590945,20,-200,195,,300,"(0.2, 0.5)",2020-12-21 01:19:17
CCI_bear_strategy,688,228,460,0.05531154198637367,20,-200,50,,300,"(0.2, 0.5)",2020-12-21 01:05:55
CCI_bear_strategy,708,227,481,0.05397923486480627,20,-195,80,,300,"(0.2, 0.5)",2020-12-21 01:22:34
CCI_bear_strategy,688,231,457,0.04766486466282083,20,-195,50,,300,"(0.2, 0.5)",2020-12-21 01:19:57
CCI_bear_strategy,698,222,476,0.02443807843209944,20,-200,55,,300,"(0.2, 0.5)",2020-12-21 01:06:21
CCI_bear_strategy,698,227,471,0.02205079511530661,20,-195,55,,300,"(0.2, 0.5)",2020-12-21 01:20:22
CCI_bear_strategy,712,228,484,0.011488597471441375,20,-190,85,,300,"(0.2, 0.5)",2020-12-21 01:35:30
CCI_bear_strategy,712,223,489,0.007311472241309458,20,-200,85,,300,"(0.2, 0.5)",2020-12-21 01:10:25
CCI_bear_strategy,709,221,488,0.0027241806262299217,20,-200,70,,300,"(0.2, 0.5)",2020-12-21 01:09:01
CCI_bear_strategy,712,226,486,0.0009574923582937878,20,-195,85,,300,"(0.2, 0.5)",2020-12-21 01:23:02
CCI_bear_strategy,668,218,450,-0.0019181819559799251,20,-190,110,,300,"(0.2, 0.5)",2020-12-21 01:37:49
